department,municipality,code,station,latitude,longitude,altitude
Antioquia,Bolívar,COXX00001,El Trapiche,5.8,-76.01666666666667,1277
Antioquia,Cocorná,COXX00002,Cocorná,6.066666666666666,-75.18333333333334,1344
Antioquia,Jardín,COXX00003,Miguel Valencia,5.6,-75.85,1621
Antioquia,Támesis,COXX00004,Virgen de Oro,5.75,-75.7,1656
Antioquia,Támesis,COXX00005,La Cristalina,5.7,-75.66666666666667,775
Antioquia,Venecia,COXX00006,El Rosario,5.966666666666667,-75.7,1635
Boyacá,Moniquirá,COXX00007,Bertha,5.883333333333333,-73.56666666666666,1677
Caldas,Chinchiná,COXX00008,Cenicafé,5.0,-75.6,1310
Caldas,Chinchiná,COXX00009,Naranjal,4.966666666666667,-75.65,1381
Caldas,Manizales,COXX00010,El Algarrobo,5.066666666666666,-75.58333333333333,1202
Caldas,Manizales,COXX00011,Almacafé Letras,5.05,-75.33333333333333,3684
Caldas,Manizales,COXX00012,Planalto,4.983333333333333,-75.58333333333333,1413
Caldas,Marquetalia,COXX00013,Santa Helena,5.316666666666666,-75.0,1395
Caldas,Palestina,COXX00014,Granja Luker,5.066666666666666,-75.68333333333334,1031
Caldas,Palestina,COXX00015,Santágueda,5.066666666666666,-75.66666666666667,1026
Cauca,El Tambo,COXX00016,Manuel Mejía,2.4,-76.73333333333333,1735
Cauca,Piendamó,COXX00017,La Trinidad,2.75,-76.58333333333333,1671
Cesar,Pueblo Bello,COXX00018,Pueblo Bello,10.41666666666667,-73.56666666666666,1134
Cundinamarca,Cachipay,COXX00019,Mesitas de Santa Inés,4.716666666666667,-74.45,1340
Cundinamarca,El Colegio,COXX00020,Misiones,4.55,-74.43333333333334,1540
Cundinamarca,El Peñón,COXX00021,Santa Rosita,5.266666666666667,-74.28333333333333,1437
Cundinamarca,Sasaima,COXX00022,Santa Bárbara,4.933333333333334,-74.41666666666667,1478
Cundinamarca,Tibacuy,COXX00023,Granja Tibacuy,4.366666666666666,-74.43333333333334,1538
Cundinamarca,Yacopí,COXX00024,Montelíbano,5.45,-74.33333333333333,1365
Huila,Gigante,COXX00025,Jorge Villamil,2.333333333333333,-75.51666666666667,1420
Magdalena,Santa Marta,COXX00026,La Victoria,11.13333333333333,-74.1,1100
Nariño,Consacá,COXX00027,Ospina Pérez,1.25,-77.48333333333333,1603
Nariño,La Unión,COXX00028,El Sauce,1.616666666666667,-77.11666666666666,1609
Norte de Santander,Chinácota,COXX00029,Blonay,7.566666666666666,-72.61666666666666,1250
Norte de Santander,Convención,COXX00030,Gabriel María Barriga,8.416666666666666,-73.33333333333333,1261
Norte de Santander,Salazar,COXX00031,Francisco Romero,7.733333333333333,-72.78333333333333,903
Quindío,Buenavista,COXX00032,Paraguaicito,4.4,-75.73333333333333,1203
Quindío,Calarcá,COXX00033,La Bella,4.5,-75.66666666666667,1449
Quindío,Montenegro,COXX00034,El Agrado,4.516666666666667,-75.8,1275
Quindío,Pijao,COXX00035,La Esperanza,4.3,-75.73333333333333,1667
Quindío,Quimbaya,COXX00036,Maracay,4.6,-75.73333333333333,1402
Risaralda,Guática,COXX00037,Ospirma,5.333333333333333,-75.81666666666666,1661
Risaralda,Pereira,COXX00038,El Pílamo,4.866666666666667,-75.8,1113
Risaralda,Pereira,COXX00039,La Catalina,4.75,-75.73333333333333,1321
Risaralda,Pereira,COXX00040,El Cedral,4.7,-75.53333333333333,2120
Risaralda,Santa Rosa de Cabal,COXX00041,El Jazmín,4.916666666666667,-75.61666666666666,1635
Santander,Floridablanca,COXX00042,San Antonio,7.1,-73.06666666666666,1539
Santander,Los Santos,COXX00043,El Roble,6.866666666666667,-73.05,1646
Santander,Socorro,COXX00044,Alberto Santos,6.5,-73.21666666666667,1499
Tolima,Chaparral,COXX00045,La Aldea,3.683611111111111,-75.63388888888889,1635
Tolima,Fresno,COXX00046,Tricontinental,5.15,-75.0,1269
Tolima,Ibagué,COXX00047,Chapetón,4.466666666666667,-75.26666666666667,1353
Tolima,Líbano,COXX00048,La Trinidad,4.9,-75.03333333333333,1456
Tolima,Villarrica,COXX00049,El Tucuy,3.966666666666667,-74.58333333333333,1452
Valle,Alcalá,COXX00050,Arturo Gómez,4.666666666666667,-75.78333333333333,1259
Valle,Caicedonia,COXX00051,Venecia,4.333333333333333,-75.83333333333333,1168
Valle,El Cairo,COXX00052,Albán,4.783333333333333,-76.18333333333334,1510
Valle,Restrepo,COXX00053,Julio Fernández,3.816666666666666,-76.53333333333333,1381
Valle,Sevilla,COXX00054,La Sirena,4.283333333333333,-75.9,1519
Valle,Trujillo,COXX00055,Manuel M. Mallarino,4.216666666666667,-76.31666666666666,1331
Caldas,Manizales,COXX00056,Agronomía,5.05,-75.5,2088
Huila,La Plata,COXX00057,Simón Campos,2.350277777777778,-75.88388888888889,1754
Huila,Pitalito,COXX00058,La Cascada,1.833333333333333,-76.15,1368
Caldas,Salamina,COXX00059,El Ciprés,5.433333333333334,-75.5,1877
Tolima,Planadas,COXX00060,El Rubí,3.116666666666667,-75.66666666666667,1725
Cundinamarca,Sasaima,COXX00061,El Mirador,4.950277777777778,-74.40055555555556,1683
Magdalena,Ciénaga,COXX00062,Agroberlín,10.80027777777778,-74.01722222222222,1290
